Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-01-04,0.010314204029198804,-0.007923564525679994,-0.011669700303592823,-0.04374316479671081,0.05124885285593783
2023-01-05,-0.010604638721778858,-0.023725589118479662,-0.021344292445129254,-0.029637808335096216,-0.029039097760312105
2023-01-06,0.036793940636999256,0.035611152390083056,0.01322502601798825,0.011785348598503331,0.024651090365942707
2023-01-09,0.004089159011959165,0.01486987397850048,0.007785663550133437,0.00973632974306482,0.059349011404278285
2023-01-10,0.004456121133326052,0.028731709234134817,0.004544471929143201,0.007617278286219165,-0.007681374256751861
2023-01-11,0.02111233278314839,0.058083825879343465,0.035059893786763885,0.030238166041780534,0.036769060182475055
2023-01-12,-0.0005991433878226315,0.0018929468094222024,-0.004261327032775042,0.011621409184339182,0.0027592625752506095
2023-01-13,0.01011907644472676,0.029915043601747016,0.010863637001450321,0.00301880319360448,-0.009388119582672827
2023-01-17,0.008756225167267928,-0.02109661268732821,-0.009010002709725295,0.004681609819257471,0.07426473736900463
2023-01-18,-0.0053699690072379624,-0.006142675153973931,-0.001862133978195346,-0.01888915775379507,-0.020609982513142944
2023-01-19,0.00044384084724802264,-0.01864654092151996,0.021180923723431277,-0.016453922912397112,-0.012501946153228194
2023-01-20,0.019220657119658924,0.03810845093076898,0.05341198357696286,0.03574365605824559,0.0491468120625187
2023-01-23,0.023500517814843747,0.002776315095798454,0.018057660055786684,0.009824216345299286,0.07742468874848996
2023-01-24,0.010063106263552335,-0.012305137300550828,-0.02094405710307945,-0.0022260675204678337,0.0009739087975544347
2023-01-25,-0.0047006369027096095,0.008928577793566816,-0.02538379306993699,-0.00590803011389629,0.003752820129427681
2023-01-26,0.014803172543175647,0.02099198301215366,0.024154531877684127,0.03071364827222345,0.10967259156647335
2023-01-27,0.013684422938136098,0.03043737760442866,0.018970597611238427,0.0006450702282296827,0.11000180416824756
2023-01-30,-0.020078200407960822,-0.01652968356145279,-0.02445409510447283,-0.021961559224894844,-0.06318150994943417
2023-01-31,0.009020800028293863,0.025658817736008643,0.019599650116830514,0.021012665070824665,0.03936155894904236
2023-02-01,0.00790101757018924,0.019586971068148662,0.016086704106996752,0.0199346549419821,0.047280928205116535
2023-02-02,0.03706228282058466,0.07379935352944922,0.0727868944950123,0.04688436534931828,0.03781489703913388
