Asset,Optimal Weight
AAPL,0.02584739084752707
AGG,0.01933923421893376
AMZN,0.036107666692003576
BAC,0.030373890260740978
BND,0.019306456732887577
BNDX,0.020724006956738542
CORN,0.02210434189750988
CSCO,0.01994326079641834
DBA,0.01776139019900496
DBC,0.025628689177028333
DIA,0.01878370994483593
DIS,0.028981437382760936
EEM,0.01571918881789128
EFA,0.013909264316816494
EMB,0.017873066530745316
GLD,0.016465213144835344
GOOGL,0.0413739602930874
HD,0.008077782672381009
HYG,0.02034382109974302
IEF,0.018216694011562763
IWM,0.017534821777380586
JNJ,0.01039507754382992
JPM,0.027634886312201058
KO,0.010694656883066912
LQD,0.017683875100509283
MA,0.017178557858646484
META,0.017126909142313712
MSFT,0.02742283428496169
MUB,0.021856976236424103
NVDA,0.03879045028479303
PALL,0.017402227552598137
PFE,0.018475422206437223
PG,0.019897644638840122
QQQ,0.02698805850005932
SHY,0.022337917095817388
SLV,0.02049284592033442
SPY,0.022548700635680118
TLT,0.014008244799787968
TSLA,0.029227597581164687
UNG,0.03450291427043628
USO,0.036223400015313975
V,0.026191971581538295
VNQ,0.008465817076698733
WEAT,0.021287586025722414
WMT,0.01947201510204091
XOM,0.019278125579951115
